Started at: Thu Oct 30 04:32:23 PM SAST 2025
LETS COOOK IT UPPP

======================================================================
NO EXISTING MODEL FOUND - STARTING FRESH TRAINING
======================================================================

Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Wrapping the env in a VecTransposeImage.

======================================================================
STARTING NEW TRAINING
Target total: 1,000,000 steps
======================================================================

Logging to ./PPO_crafter_tensorboard/PPO_14
---------------------------------
| rollout/           |          |
|    entropy_loss         | -2.19       |
|    explained_variance   | 0.792       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.142      |
|    n_updates            | 2420        |
|    policy_gradient_loss | -0.0912     |
|    value_loss           | 0.0771      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 3.13       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 244        |
|    time_elapsed         | 5216       |
|    total_timesteps      | 499712     |
| train/                  |            |
|    approx_kl            | 0.12527582 |
|    clip_fraction        | 0.628      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.29      |
|    explained_variance   | 0.79       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.129     |
|    n_updates            | 2430       |
|    policy_gradient_loss | -0.101     |
|    value_loss           | 0.0515     |
----------------------------------------
Eval num_timesteps=500000, episode_reward=2.70 +/- 1.20
Episode length: 152.60 +/- 67.08
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 153        |
|    mean_reward          | 2.7        |
| time/                   |            |
|    total_timesteps      | 500000     |
| train/                  |            |
|    approx_kl            | 0.11430968 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.29      |
|    explained_variance   | 0.719      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.125     |
|    n_updates            | 2440       |
|    policy_gradient_loss | -0.091     |
|    value_loss           | 0.0589     |
----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 169      |
|    ep_rew_mean     | 3        |
| time/              |          |
|    fps             | 95       |
|    iterations      | 245      |
|    time_elapsed    | 5244     |
|    total_timesteps | 501760   |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 2.97       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 246        |
|    time_elapsed         | 5265       |
|    total_timesteps      | 503808     |
| train/                  |            |
|    approx_kl            | 0.13901578 |
|    clip_fraction        | 0.65       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.29      |
|    explained_variance   | 0.76       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.157     |
|    n_updates            | 2450       |
|    policy_gradient_loss | -0.106     |
|    value_loss           | 0.0391     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 171        |
|    ep_rew_mean          | 2.96       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 247        |
|    time_elapsed         | 5285       |
|    total_timesteps      | 505856     |
| train/                  |            |
|    approx_kl            | 0.11721378 |
|    clip_fraction        | 0.616      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.32      |
|    explained_variance   | 0.778      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.154     |
|    n_updates            | 2460       |
|    policy_gradient_loss | -0.0996    |
|    value_loss           | 0.0441     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 175        |
|    ep_rew_mean          | 3          |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 248        |
|    time_elapsed         | 5304       |
|    total_timesteps      | 507904     |
| train/                  |            |
|    approx_kl            | 0.13095418 |
|    clip_fraction        | 0.612      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.3       |
|    explained_variance   | 0.743      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.16      |
|    n_updates            | 2470       |
|    policy_gradient_loss | -0.101     |
|    value_loss           | 0.0467     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 2.93       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 249        |
|    time_elapsed         | 5324       |
|    total_timesteps      | 509952     |
| train/                  |            |
|    approx_kl            | 0.12551434 |
|    clip_fraction        | 0.617      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.32      |
|    explained_variance   | 0.78       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.143     |
|    n_updates            | 2480       |
|    policy_gradient_loss | -0.101     |
|    value_loss           | 0.0387     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 176        |
|    ep_rew_mean          | 2.92       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 250        |
|    time_elapsed         | 5346       |
|    total_timesteps      | 512000     |
| train/                  |            |
|    approx_kl            | 0.10736272 |
|    clip_fraction        | 0.605      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.31      |
|    explained_variance   | 0.782      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.154     |
|    n_updates            | 2490       |
|    policy_gradient_loss | -0.0986    |
|    value_loss           | 0.0391     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 180        |
|    ep_rew_mean          | 2.94       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 251        |
|    time_elapsed         | 5365       |
|    total_timesteps      | 514048     |
| train/                  |            |
|    approx_kl            | 0.12471142 |
|    clip_fraction        | 0.616      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.31      |
|    explained_variance   | 0.757      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.139     |
|    n_updates            | 2500       |
|    policy_gradient_loss | -0.0971    |
|    value_loss           | 0.0499     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 182        |
|    ep_rew_mean          | 2.85       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 252        |
|    time_elapsed         | 5386       |
|    total_timesteps      | 516096     |
| train/                  |            |
|    approx_kl            | 0.12098363 |
|    clip_fraction        | 0.601      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.28      |
|    explained_variance   | 0.79       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.139     |
|    n_updates            | 2510       |
|    policy_gradient_loss | -0.0967    |
|    value_loss           | 0.0404     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 178        |
|    ep_rew_mean          | 2.92       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 253        |
|    time_elapsed         | 5409       |
|    total_timesteps      | 518144     |
| train/                  |            |
|    approx_kl            | 0.11528661 |
|    clip_fraction        | 0.604      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.29      |
|    explained_variance   | 0.723      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.132     |
|    n_updates            | 2520       |
|    policy_gradient_loss | -0.1       |
|    value_loss           | 0.047      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 175        |
|    ep_rew_mean          | 2.94       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 254        |
|    time_elapsed         | 5431       |
|    total_timesteps      | 520192     |
| train/                  |            |
|    approx_kl            | 0.12137238 |
|    clip_fraction        | 0.599      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.3       |
|    explained_variance   | 0.67       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.156     |
|    n_updates            | 2530       |
|    policy_gradient_loss | -0.0986    |
|    value_loss           | 0.0651     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 176        |
|    ep_rew_mean          | 3.02       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 255        |
|    time_elapsed         | 5451       |
|    total_timesteps      | 522240     |
| train/                  |            |
|    approx_kl            | 0.12238538 |
|    clip_fraction        | 0.619      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.31      |
|    explained_variance   | 0.745      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.128     |
|    n_updates            | 2540       |
|    policy_gradient_loss | -0.0992    |
|    value_loss           | 0.0475     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 3.01       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 256        |
|    time_elapsed         | 5474       |
|    total_timesteps      | 524288     |
| train/                  |            |
|    approx_kl            | 0.12078124 |
|    clip_fraction        | 0.588      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.22      |
|    explained_variance   | 0.795      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.135     |
|    n_updates            | 2550       |
|    policy_gradient_loss | -0.095     |
|    value_loss           | 0.0531     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 172         |
|    ep_rew_mean          | 3.12        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 257         |
|    time_elapsed         | 5492        |
|    total_timesteps      | 526336      |
| train/                  |             |
|    approx_kl            | 0.102949575 |
|    clip_fraction        | 0.573       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.25       |
|    explained_variance   | 0.835       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.143      |
|    n_updates            | 2560        |
|    policy_gradient_loss | -0.0941     |
|    value_loss           | 0.0439      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 171        |
|    ep_rew_mean          | 3.03       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 258        |
|    time_elapsed         | 5514       |
|    total_timesteps      | 528384     |
| train/                  |            |
|    approx_kl            | 0.11570193 |
|    clip_fraction        | 0.596      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.32      |
|    explained_variance   | 0.819      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.143     |
|    n_updates            | 2570       |
|    policy_gradient_loss | -0.0966    |
|    value_loss           | 0.0365     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 171        |
|    ep_rew_mean          | 3.01       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 259        |
|    time_elapsed         | 5534       |
|    total_timesteps      | 530432     |
| train/                  |            |
|    approx_kl            | 0.11582681 |
|    clip_fraction        | 0.603      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.29      |
|    explained_variance   | 0.812      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.159     |
|    n_updates            | 2580       |
|    policy_gradient_loss | -0.0971    |
|    value_loss           | 0.0451     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 167        |
|    ep_rew_mean          | 3          |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 260        |
|    time_elapsed         | 5557       |
|    total_timesteps      | 532480     |
| train/                  |            |
|    approx_kl            | 0.12360968 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.75       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.147     |
|    n_updates            | 2590       |
|    policy_gradient_loss | -0.0947    |
|    value_loss           | 0.0543     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 169         |
|    ep_rew_mean          | 2.99        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 261         |
|    time_elapsed         | 5578        |
|    total_timesteps      | 534528      |
| train/                  |             |
|    approx_kl            | 0.124533445 |
|    clip_fraction        | 0.603       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.27       |
|    explained_variance   | 0.785       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.12       |
|    n_updates            | 2600        |
|    policy_gradient_loss | -0.102      |
|    value_loss           | 0.0471      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 3.13       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 262        |
|    time_elapsed         | 5598       |
|    total_timesteps      | 536576     |
| train/                  |            |
|    approx_kl            | 0.10870398 |
|    clip_fraction        | 0.578      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.21      |
|    explained_variance   | 0.758      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.141     |
|    n_updates            | 2610       |
|    policy_gradient_loss | -0.0975    |
|    value_loss           | 0.0522     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 168        |
|    ep_rew_mean          | 3.03       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 263        |
|    time_elapsed         | 5623       |
|    total_timesteps      | 538624     |
| train/                  |            |
|    approx_kl            | 0.14326113 |
|    clip_fraction        | 0.63       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.26      |
|    explained_variance   | 0.801      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.148     |
|    n_updates            | 2620       |
|    policy_gradient_loss | -0.1       |
|    value_loss           | 0.0392     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 3.02       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 264        |
|    time_elapsed         | 5644       |
|    total_timesteps      | 540672     |
| train/                  |            |
|    approx_kl            | 0.14069785 |
|    clip_fraction        | 0.614      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.16      |
|    explained_variance   | 0.778      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.114     |
|    n_updates            | 2630       |
|    policy_gradient_loss | -0.098     |
|    value_loss           | 0.0549     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 168         |
|    ep_rew_mean          | 3.08        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 265         |
|    time_elapsed         | 5665        |
|    total_timesteps      | 542720      |
| train/                  |             |
|    approx_kl            | 0.113653734 |
|    clip_fraction        | 0.573       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.22       |
|    explained_variance   | 0.779       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.141      |
|    n_updates            | 2640        |
|    policy_gradient_loss | -0.089      |
|    value_loss           | 0.0445      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 169        |
|    ep_rew_mean          | 3.24       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 266        |
|    time_elapsed         | 5685       |
|    total_timesteps      | 544768     |
| train/                  |            |
|    approx_kl            | 0.10648623 |
|    clip_fraction        | 0.587      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.2       |
|    explained_variance   | 0.749      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.134     |
|    n_updates            | 2650       |
|    policy_gradient_loss | -0.0952    |
|    value_loss           | 0.0569     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 3.29       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 267        |
|    time_elapsed         | 5704       |
|    total_timesteps      | 546816     |
| train/                  |            |
|    approx_kl            | 0.12138136 |
|    clip_fraction        | 0.605      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.27      |
|    explained_variance   | 0.804      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.138     |
|    n_updates            | 2660       |
|    policy_gradient_loss | -0.0994    |
|    value_loss           | 0.0465     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 3.28       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 268        |
|    time_elapsed         | 5728       |
|    total_timesteps      | 548864     |
| train/                  |            |
|    approx_kl            | 0.11478609 |
|    clip_fraction        | 0.589      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.786      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.134     |
|    n_updates            | 2670       |
|    policy_gradient_loss | -0.0942    |
|    value_loss           | 0.0487     |
----------------------------------------
Eval num_timesteps=550000, episode_reward=2.90 +/- 1.17
Episode length: 200.80 +/- 40.73
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 201        |
|    mean_reward          | 2.9        |
| time/                   |            |
|    total_timesteps      | 550000     |
| train/                  |            |
|    approx_kl            | 0.13020119 |
|    clip_fraction        | 0.617      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.32      |
|    explained_variance   | 0.697      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.152     |
|    n_updates            | 2680       |
|    policy_gradient_loss | -0.101     |
|    value_loss           | 0.0572     |
----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 169      |
|    ep_rew_mean     | 3.27     |
| time/              |          |
|    fps             | 95       |
|    iterations      | 269      |
|    time_elapsed    | 5757     |
|    total_timesteps | 550912   |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 3.11       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 270        |
|    time_elapsed         | 5778       |
|    total_timesteps      | 552960     |
| train/                  |            |
|    approx_kl            | 0.11818159 |
|    clip_fraction        | 0.605      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.27      |
|    explained_variance   | 0.731      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.137     |
|    n_updates            | 2690       |
|    policy_gradient_loss | -0.0975    |
|    value_loss           | 0.0526     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 3.17       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 271        |
|    time_elapsed         | 5798       |
|    total_timesteps      | 555008     |
| train/                  |            |
|    approx_kl            | 0.10315943 |
|    clip_fraction        | 0.586      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.31      |
|    explained_variance   | 0.76       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.149     |
|    n_updates            | 2700       |
|    policy_gradient_loss | -0.0916    |
|    value_loss           | 0.0418     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 3.23       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 272        |
|    time_elapsed         | 5820       |
|    total_timesteps      | 557056     |
| train/                  |            |
|    approx_kl            | 0.12729967 |
|    clip_fraction        | 0.626      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.28      |
|    explained_variance   | 0.797      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.138     |
|    n_updates            | 2710       |
|    policy_gradient_loss | -0.103     |
|    value_loss           | 0.0441     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 3.21       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 273        |
|    time_elapsed         | 5841       |
|    total_timesteps      | 559104     |
| train/                  |            |
|    approx_kl            | 0.12190294 |
|    clip_fraction        | 0.595      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.19      |
|    explained_variance   | 0.799      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.14      |
|    n_updates            | 2720       |
|    policy_gradient_loss | -0.102     |
|    value_loss           | 0.0461     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 3.16       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 274        |
|    time_elapsed         | 5863       |
|    total_timesteps      | 561152     |
| train/                  |            |
|    approx_kl            | 0.12566735 |
|    clip_fraction        | 0.595      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.26      |
|    explained_variance   | 0.794      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.146     |
|    n_updates            | 2730       |
|    policy_gradient_loss | -0.0977    |
|    value_loss           | 0.0415     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 167        |
|    ep_rew_mean          | 3.02       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 275        |
|    time_elapsed         | 5886       |
|    total_timesteps      | 563200     |
| train/                  |            |
|    approx_kl            | 0.13557257 |
|    clip_fraction        | 0.622      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.26      |
|    explained_variance   | 0.785      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.152     |
|    n_updates            | 2740       |
|    policy_gradient_loss | -0.102     |
|    value_loss           | 0.0463     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 169        |
|    ep_rew_mean          | 3.13       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 276        |
|    time_elapsed         | 5908       |
|    total_timesteps      | 565248     |
| train/                  |            |
|    approx_kl            | 0.11232738 |
|    clip_fraction        | 0.573      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.26      |
|    explained_variance   | 0.701      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.154     |
|    n_updates            | 2750       |
|    policy_gradient_loss | -0.0955    |
|    value_loss           | 0.0588     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 168        |
|    ep_rew_mean          | 3.19       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 277        |
|    time_elapsed         | 5930       |
|    total_timesteps      | 567296     |
| train/                  |            |
|    approx_kl            | 0.11809898 |
|    clip_fraction        | 0.614      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.19      |
|    explained_variance   | 0.749      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.119     |
|    n_updates            | 2760       |
|    policy_gradient_loss | -0.102     |
|    value_loss           | 0.0571     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 168       |
|    ep_rew_mean          | 3.35      |
| time/                   |           |
|    fps                  | 95        |
|    iterations           | 278       |
|    time_elapsed         | 5950      |
|    total_timesteps      | 569344    |
| train/                  |           |
|    approx_kl            | 0.1174373 |
|    clip_fraction        | 0.596     |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.24     |
|    explained_variance   | 0.749     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.147    |
|    n_updates            | 2770      |
|    policy_gradient_loss | -0.105    |
|    value_loss           | 0.0531    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 166         |
|    ep_rew_mean          | 3.41        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 279         |
|    time_elapsed         | 5971        |
|    total_timesteps      | 571392      |
| train/                  |             |
|    approx_kl            | 0.116735145 |
|    clip_fraction        | 0.613       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.24       |
|    explained_variance   | 0.717       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.151      |
|    n_updates            | 2780        |
|    policy_gradient_loss | -0.103      |
|    value_loss           | 0.0528      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 169        |
|    ep_rew_mean          | 3.33       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 280        |
|    time_elapsed         | 5991       |
|    total_timesteps      | 573440     |
| train/                  |            |
|    approx_kl            | 0.15231411 |
|    clip_fraction        | 0.636      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.21      |
|    explained_variance   | 0.73       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.16      |
|    n_updates            | 2790       |
|    policy_gradient_loss | -0.106     |
|    value_loss           | 0.0557     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 168        |
|    ep_rew_mean          | 3.32       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 281        |
|    time_elapsed         | 6012       |
|    total_timesteps      | 575488     |
| train/                  |            |
|    approx_kl            | 0.11278352 |
|    clip_fraction        | 0.602      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.33      |
|    explained_variance   | 0.76       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.15      |
|    n_updates            | 2800       |
|    policy_gradient_loss | -0.0969    |
|    value_loss           | 0.0396     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 170       |
|    ep_rew_mean          | 3.29      |
| time/                   |           |
|    fps                  | 95        |
|    iterations           | 282       |
|    time_elapsed         | 6034      |
|    total_timesteps      | 577536    |
| train/                  |           |
|    approx_kl            | 0.1077338 |
|    clip_fraction        | 0.581     |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.29     |
|    explained_variance   | 0.661     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.134    |
|    n_updates            | 2810      |
|    policy_gradient_loss | -0.0916   |
|    value_loss           | 0.0577    |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 171        |
|    ep_rew_mean          | 3.26       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 283        |
|    time_elapsed         | 6056       |
|    total_timesteps      | 579584     |
| train/                  |            |
|    approx_kl            | 0.11806114 |
|    clip_fraction        | 0.618      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.25      |
|    explained_variance   | 0.684      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.103     |
|    n_updates            | 2820       |
|    policy_gradient_loss | -0.1       |
|    value_loss           | 0.0546     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 171        |
|    ep_rew_mean          | 3.36       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 284        |
|    time_elapsed         | 6077       |
|    total_timesteps      | 581632     |
| train/                  |            |
|    approx_kl            | 0.11798654 |
|    clip_fraction        | 0.615      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.682      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.159     |
|    n_updates            | 2830       |
|    policy_gradient_loss | -0.0988    |
|    value_loss           | 0.055      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 3.24       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 285        |
|    time_elapsed         | 6097       |
|    total_timesteps      | 583680     |
| train/                  |            |
|    approx_kl            | 0.13055083 |
|    clip_fraction        | 0.611      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.779      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.128     |
|    n_updates            | 2840       |
|    policy_gradient_loss | -0.0977    |
|    value_loss           | 0.0525     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 3.23       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 286        |
|    time_elapsed         | 6120       |
|    total_timesteps      | 585728     |
| train/                  |            |
|    approx_kl            | 0.13132891 |
|    clip_fraction        | 0.6        |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.3       |
|    explained_variance   | 0.745      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.137     |
|    n_updates            | 2850       |
|    policy_gradient_loss | -0.0973    |
|    value_loss           | 0.038      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 3.21       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 287        |
|    time_elapsed         | 6141       |
|    total_timesteps      | 587776     |
| train/                  |            |
|    approx_kl            | 0.12445072 |
|    clip_fraction        | 0.617      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.802      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.155     |
|    n_updates            | 2860       |
|    policy_gradient_loss | -0.103     |
|    value_loss           | 0.0441     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 3.26       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 288        |
|    time_elapsed         | 6161       |
|    total_timesteps      | 589824     |
| train/                  |            |
|    approx_kl            | 0.11617173 |
|    clip_fraction        | 0.611      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.28      |
|    explained_variance   | 0.651      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.129     |
|    n_updates            | 2870       |
